image_path,annotation_path,label,x1,y1,x2,y2,source_folder
Test\Images\122\0104.jpg,Test\Annotations\122\0104.txt,1,349,320,453,403,122
Test\Images\160\0248.jpg,Test\Annotations\160\0248.txt,1,356,256,417,323,160
Test\Images\108\0017.jpg,Test\Annotations\108\0017.txt,1,330,431,446,463,108
Test\Images\133\0150.jpg,Test\Annotations\133\0150.txt,0,,,,,133
Test\Images\137\0043.jpg,Test\Annotations\137\0043.txt,0,,,,,137
Test\Images\106\0125.jpg,Test\Annotations\106\0125.txt,1,179,71,398,250,106
Test\Images\149\0145.jpg,Test\Annotations\149\0145.txt,1,172,167,250,209,149
Test\Images\152\0022.jpg,Test\Annotations\152\0022.txt,1,6,206,21,232,152
Test\Images\133\0092.jpg,Test\Annotations\133\0092.txt,1,131,152,360,364,133
Test\Images\158\0107.jpg,Test\Annotations\158\0107.txt,1,320,328,489,406,158
Test\Images\116\0028.jpg,Test\Annotations\116\0028.txt,1,232,188,310,295,116
Test\Images\131\0335.jpg,Test\Annotations\131\0335.txt,1,352,226,444,352,131
Test\Images\120\0219.jpg,Test\Annotations\120\0219.txt,1,344,85,440,210,120
Test\Images\160\0349.jpg,Test\Annotations\160\0349.txt,1,396,258,448,310,160
Test\Images\114\0074.jpg,Test\Annotations\114\0074.txt,1,74,343,127,420,114
Test\Images\112\0198.jpg,Test\Annotations\112\0198.txt,0,,,,,112
Test\Images\120\0182.jpg,Test\Annotations\120\0182.txt,0,,,,,120
Test\Images\153\0101.jpg,Test\Annotations\153\0101.txt,1,265,346,386,416,153
Test\Images\139\0075.jpg,Test\Annotations\139\0075.txt,1,311,229,405,295,139
Test\Images\130\0120.jpg,Test\Annotations\130\0120.txt,1,249,84,337,192,130
Test\Images\136\0226.jpg,Test\Annotations\136\0226.txt,0,,,,,136
Test\Images\157\0164.jpg,Test\Annotations\157\0164.txt,1,105,262,215,321,157
Test\Images\110\0210.jpg,Test\Annotations\110\0210.txt,1,501,52,558,191,110
Test\Images\118\0311.jpg,Test\Annotations\118\0311.txt,1,477,293,546,369,118
Test\Images\126\0030.jpg,Test\Annotations\126\0030.txt,0,,,,,126
Test\Images\157\0115.jpg,Test\Annotations\157\0115.txt,1,145,237,258,280,157
Test\Images\115\0292.jpg,Test\Annotations\115\0292.txt,1,434,78,512,175,115
Test\Images\117\0026.jpg,Test\Annotations\117\0026.txt,1,134,304,187,370,117
Test\Images\130\0018.jpg,Test\Annotations\130\0018.txt,1,408,20,458,74,130
Test\Images\139\0307.jpg,Test\Annotations\139\0307.txt,1,0,161,56,372,139
Test\Images\115\0159.jpg,Test\Annotations\115\0159.txt,1,406,32,499,126,115
Test\Images\127\0251.jpg,Test\Annotations\127\0251.txt,1,292,187,334,233,127
Test\Images\148\0037.jpg,Test\Annotations\148\0037.txt,0,,,,,148
Test\Images\122\0226.jpg,Test\Annotations\122\0226.txt,1,249,177,354,295,122
Test\Images\147\0136.jpg,Test\Annotations\147\0136.txt,1,2,172,75,349,147
Test\Images\127\0475.jpg,Test\Annotations\127\0475.txt,1,319,113,367,162,127
Test\Images\143\0038.jpg,Test\Annotations\143\0038.txt,0,,,,,143
Test\Images\133\0226.jpg,Test\Annotations\133\0226.txt,1,7,177,196,399,133
Test\Images\128\0165.jpg,Test\Annotations\128\0165.txt,1,246,151,399,314,128
Test\Images\127\0099.jpg,Test\Annotations\127\0099.txt,1,345,90,382,137,127
Test\Images\131\0192.jpg,Test\Annotations\131\0192.txt,1,275,194,445,390,131
Test\Images\108\0135.jpg,Test\Annotations\108\0135.txt,1,228,163,396,359,108
Test\Images\133\0140.jpg,Test\Annotations\133\0140.txt,0,,,,,133
Test\Images\155\0143.jpg,Test\Annotations\155\0143.txt,1,409,266,468,377,155
Test\Images\130\0020.jpg,Test\Annotations\130\0020.txt,1,411,17,461,71,130
Test\Images\102\0207.jpg,Test\Annotations\102\0207.txt,1,292,187,371,316,102
Test\Images\131\0313.jpg,Test\Annotations\131\0313.txt,0,,,,,131
Test\Images\110\0211.jpg,Test\Annotations\110\0211.txt,1,502,52,559,191,110
Test\Images\158\0149.jpg,Test\Annotations\158\0149.txt,1,297,259,480,375,158
Test\Images\160\0013.jpg,Test\Annotations\160\0013.txt,1,318,137,365,188,160
Test\Images\115\0007.jpg,Test\Annotations\115\0007.txt,0,,,,,115
Test\Images\143\0183.jpg,Test\Annotations\143\0183.txt,1,336,58,374,100,143
Test\Images\123\0211.jpg,Test\Annotations\123\0211.txt,1,326,266,465,418,123
Test\Images\151\0236.jpg,Test\Annotations\151\0236.txt,1,214,378,248,459,151
Test\Images\147\0105.jpg,Test\Annotations\147\0105.txt,1,34,206,137,400,147
Test\Images\129\0310.jpg,Test\Annotations\129\0310.txt,1,325,231,366,288,129
Test\Images\131\0027.jpg,Test\Annotations\131\0027.txt,0,,,,,131
Test\Images\101\0048.jpg,Test\Annotations\101\0048.txt,1,267,79,289,139,101
Test\Images\114\0043.jpg,Test\Annotations\114\0043.txt,1,110,173,196,293,114
Test\Images\154\0264.jpg,Test\Annotations\154\0264.txt,1,407,82,453,122,154
Test\Images\112\0191.jpg,Test\Annotations\112\0191.txt,0,,,,,112
Test\Images\141\0007.jpg,Test\Annotations\141\0007.txt,0,,,,,141
Test\Images\148\0112.jpg,Test\Annotations\148\0112.txt,1,231,18,308,70,148
Test\Images\123\0078.jpg,Test\Annotations\123\0078.txt,1,371,122,436,213,123
Test\Images\131\0138.jpg,Test\Annotations\131\0138.txt,1,271,264,445,457,131
Test\Images\119\0007.jpg,Test\Annotations\119\0007.txt,0,,,,,119
Test\Images\147\0447.jpg,Test\Annotations\147\0447.txt,1,41,300,216,479,147
Test\Images\109\0096.jpg,Test\Annotations\109\0096.txt,1,185,125,224,153,109
Test\Images\139\0156.jpg,Test\Annotations\139\0156.txt,1,264,18,489,258,139
Test\Images\137\0105.jpg,Test\Annotations\137\0105.txt,0,,,,,137
Test\Images\127\0378.jpg,Test\Annotations\127\0378.txt,1,380,181,435,233,127
Test\Images\155\0148.jpg,Test\Annotations\155\0148.txt,1,413,228,464,316,155
Test\Images\132\0086.jpg,Test\Annotations\132\0086.txt,1,220,64,406,209,132
Test\Images\158\0173.jpg,Test\Annotations\158\0173.txt,1,273,324,446,422,158
Test\Images\149\0012.jpg,Test\Annotations\149\0012.txt,0,,,,,149
Test\Images\158\0183.jpg,Test\Annotations\158\0183.txt,0,,,,,158
Test\Images\120\0284.jpg,Test\Annotations\120\0284.txt,1,405,208,540,383,120
Test\Images\127\0305.jpg,Test\Annotations\127\0305.txt,1,306,185,369,249,127
Test\Images\147\0254.jpg,Test\Annotations\147\0254.txt,1,8,165,80,316,147
Test\Images\115\0305.jpg,Test\Annotations\115\0305.txt,1,415,49,493,146,115
Test\Images\102\0093.jpg,Test\Annotations\102\0093.txt,1,280,224,353,333,102
Test\Images\153\0160.jpg,Test\Annotations\153\0160.txt,1,125,304,217,371,153
Test\Images\119\0129.jpg,Test\Annotations\119\0129.txt,0,,,,,119
Test\Images\106\0104.jpg,Test\Annotations\106\0104.txt,1,221,58,498,276,106
Test\Images\145\0025.jpg,Test\Annotations\145\0025.txt,1,245,10,289,44,145
Test\Images\160\0033.jpg,Test\Annotations\160\0033.txt,1,234,197,294,262,160
Test\Images\110\0125.jpg,Test\Annotations\110\0125.txt,1,388,104,478,220,110
Test\Images\137\0106.jpg,Test\Annotations\137\0106.txt,0,,,,,137
Test\Images\136\0164.jpg,Test\Annotations\136\0164.txt,0,,,,,136
Test\Images\102\0223.jpg,Test\Annotations\102\0223.txt,1,308,189,371,301,102
Test\Images\130\0007.jpg,Test\Annotations\130\0007.txt,0,,,,,130
Test\Images\127\0070.jpg,Test\Annotations\127\0070.txt,1,279,57,323,114,127
Test\Images\127\0252.jpg,Test\Annotations\127\0252.txt,1,290,188,332,234,127
Test\Images\159\0108.jpg,Test\Annotations\159\0108.txt,1,192,170,245,208,159
Test\Images\155\0053.jpg,Test\Annotations\155\0053.txt,1,354,167,422,255,155
Test\Images\137\0149.jpg,Test\Annotations\137\0149.txt,1,30,138,96,233,137
Test\Images\132\0167.jpg,Test\Annotations\132\0167.txt,1,296,13,469,132,132
Test\Images\117\0033.jpg,Test\Annotations\117\0033.txt,1,206,272,284,337,117
Test\Images\108\0024.jpg,Test\Annotations\108\0024.txt,1,297,367,399,405,108
Test\Images\106\0206.jpg,Test\Annotations\106\0206.txt,1,213,90,362,219,106
Test\Images\151\0083.jpg,Test\Annotations\151\0083.txt,1,103,277,164,323,151
Test\Images\123\0171.jpg,Test\Annotations\123\0171.txt,1,184,228,386,470,123
Test\Images\149\0142.jpg,Test\Annotations\149\0142.txt,1,187,165,264,203,149
Test\Images\148\0130.jpg,Test\Annotations\148\0130.txt,1,91,23,197,97,148
Test\Images\119\0145.jpg,Test\Annotations\119\0145.txt,1,296,449,335,478,119
Test\Images\129\0172.jpg,Test\Annotations\129\0172.txt,1,331,258,374,310,129
Test\Images\103\0071.jpg,Test\Annotations\103\0071.txt,1,105,146,140,185,103
Test\Images\153\0115.jpg,Test\Annotations\153\0115.txt,1,271,340,372,417,153
Test\Images\127\0487.jpg,Test\Annotations\127\0487.txt,1,324,130,362,167,127
Test\Images\150\0001.jpg,Test\Annotations\150\0001.txt,1,191,93,259,125,150
Test\Images\129\0120.jpg,Test\Annotations\129\0120.txt,1,332,208,422,285,129
Test\Images\128\0484.jpg,Test\Annotations\128\0484.txt,1,226,219,332,357,128
Test\Images\132\0316.jpg,Test\Annotations\132\0316.txt,1,159,251,352,416,132
Test\Images\114\0148.jpg,Test\Annotations\114\0148.txt,1,198,358,250,434,114
Test\Images\132\0327.jpg,Test\Annotations\132\0327.txt,1,127,153,304,309,132
Test\Images\147\0134.jpg,Test\Annotations\147\0134.txt,1,1,198,41,347,147
Test\Images\148\0003.jpg,Test\Annotations\148\0003.txt,0,,,,,148
Test\Images\127\0651.jpg,Test\Annotations\127\0651.txt,1,289,113,322,157,127
Test\Images\150\0147.jpg,Test\Annotations\150\0147.txt,1,130,196,190,254,150
Test\Images\128\0412.jpg,Test\Annotations\128\0412.txt,1,86,276,170,385,128
Test\Images\140\0062.jpg,Test\Annotations\140\0062.txt,1,69,164,190,353,140
Test\Images\137\0220.jpg,Test\Annotations\137\0220.txt,1,235,304,401,416,137
Test\Images\121\0087.jpg,Test\Annotations\121\0087.txt,1,106,334,172,397,121
Test\Images\139\0107.jpg,Test\Annotations\139\0107.txt,1,221,254,301,313,139
Test\Images\111\0119.jpg,Test\Annotations\111\0119.txt,1,235,121,552,479,111
Test\Images\134\0033.jpg,Test\Annotations\134\0033.txt,1,39,365,121,466,134
Test\Images\158\0019.jpg,Test\Annotations\158\0019.txt,0,,,,,158
Test\Images\143\0217.jpg,Test\Annotations\143\0217.txt,1,307,124,345,166,143
Test\Images\153\0165.jpg,Test\Annotations\153\0165.txt,1,129,302,221,369,153
Test\Images\133\0065.jpg,Test\Annotations\133\0065.txt,1,74,136,279,326,133
Test\Images\131\0128.jpg,Test\Annotations\131\0128.txt,1,334,264,440,410,131
Test\Images\157\0128.jpg,Test\Annotations\157\0128.txt,1,152,252,265,295,157
Test\Images\155\0196.jpg,Test\Annotations\155\0196.txt,1,318,143,367,231,155
Test\Images\147\0400.jpg,Test\Annotations\147\0400.txt,1,55,186,172,411,147
Test\Images\111\0130.jpg,Test\Annotations\111\0130.txt,1,226,120,543,478,111
Test\Images\110\0147.jpg,Test\Annotations\110\0147.txt,1,410,80,522,227,110
Test\Images\120\0242.jpg,Test\Annotations\120\0242.txt,1,354,221,480,374,120
Test\Images\127\0761.jpg,Test\Annotations\127\0761.txt,1,274,137,299,167,127
Test\Images\114\0110.jpg,Test\Annotations\114\0110.txt,1,274,395,384,479,114
Test\Images\149\0102.jpg,Test\Annotations\149\0102.txt,1,95,203,219,263,149
Test\Images\136\0285.jpg,Test\Annotations\136\0285.txt,0,,,,,136
Test\Images\137\0222.jpg,Test\Annotations\137\0222.txt,1,229,303,395,415,137
Test\Images\114\0056.jpg,Test\Annotations\114\0056.txt,1,156,238,244,353,114
Test\Images\157\0170.jpg,Test\Annotations\157\0170.txt,1,101,263,226,324,157
Test\Images\111\0034.jpg,Test\Annotations\111\0034.txt,0,,,,,111
Test\Images\147\0001.jpg,Test\Annotations\147\0001.txt,0,,,,,147
Test\Images\155\0239.jpg,Test\Annotations\155\0239.txt,1,432,202,489,265,155
Test\Images\131\0344.jpg,Test\Annotations\131\0344.txt,1,372,238,464,364,131
Test\Images\158\0006.jpg,Test\Annotations\158\0006.txt,0,,,,,158
Test\Images\146\0109.jpg,Test\Annotations\146\0109.txt,1,122,202,188,265,146
Test\Images\106\0143.jpg,Test\Annotations\106\0143.txt,1,176,54,352,214,106
Test\Images\127\0212.jpg,Test\Annotations\127\0212.txt,1,267,76,290,108,127
Test\Images\136\0357.jpg,Test\Annotations\136\0357.txt,1,266,188,298,246,136
Test\Images\137\0098.jpg,Test\Annotations\137\0098.txt,0,,,,,137
Test\Images\125\0038.jpg,Test\Annotations\125\0038.txt,1,482,234,558,460,125
Test\Images\137\0083.jpg,Test\Annotations\137\0083.txt,1,54,123,107,193,137
Test\Images\101\0177.jpg,Test\Annotations\101\0177.txt,1,237,264,311,364,101
Test\Images\150\0209.jpg,Test\Annotations\150\0209.txt,1,181,199,244,251,150
Test\Images\104\0063.jpg,Test\Annotations\104\0063.txt,1,397,278,554,456,104
Test\Images\102\0196.jpg,Test\Annotations\102\0196.txt,1,294,192,373,321,102
Test\Images\130\0061.jpg,Test\Annotations\130\0061.txt,1,299,4,383,109,130
Test\Images\122\0185.jpg,Test\Annotations\122\0185.txt,1,294,157,417,283,122
Test\Images\148\0188.jpg,Test\Annotations\148\0188.txt,0,,,,,148
Test\Images\143\0458.jpg,Test\Annotations\143\0458.txt,1,370,280,410,317,143
Test\Images\136\0009.jpg,Test\Annotations\136\0009.txt,1,271,399,345,479,136
Test\Images\154\0207.jpg,Test\Annotations\154\0207.txt,1,437,95,483,135,154
Test\Images\129\0010.jpg,Test\Annotations\129\0010.txt,0,,,,,129
Test\Images\129\0050.jpg,Test\Annotations\129\0050.txt,1,409,142,451,188,129
Test\Images\159\0021.jpg,Test\Annotations\159\0021.txt,1,57,264,96,291,159
Test\Images\118\0257.jpg,Test\Annotations\118\0257.txt,1,511,234,555,308,118
Test\Images\129\0061.jpg,Test\Annotations\129\0061.txt,1,401,140,455,200,129
Test\Images\121\0091.jpg,Test\Annotations\121\0091.txt,1,137,342,217,407,121
Test\Images\143\0293.jpg,Test\Annotations\143\0293.txt,1,357,204,395,246,143
Test\Images\154\0206.jpg,Test\Annotations\154\0206.txt,1,439,94,485,134,154
Test\Images\130\0037.jpg,Test\Annotations\130\0037.txt,1,344,10,417,82,130
Test\Images\102\0096.jpg,Test\Annotations\102\0096.txt,1,281,223,354,332,102
Test\Images\145\0212.jpg,Test\Annotations\145\0212.txt,1,217,285,288,342,145
Test\Images\160\0178.jpg,Test\Annotations\160\0178.txt,1,401,260,454,315,160
Test\Images\115\0274.jpg,Test\Annotations\115\0274.txt,1,390,110,482,222,115
Test\Images\114\0279.jpg,Test\Annotations\114\0279.txt,1,314,227,370,291,114
Test\Images\137\0003.jpg,Test\Annotations\137\0003.txt,0,,,,,137
Test\Images\154\0105.jpg,Test\Annotations\154\0105.txt,1,399,113,418,137,154
Test\Images\127\0229.jpg,Test\Annotations\127\0229.txt,1,276,89,315,132,127
Test\Images\153\0114.jpg,Test\Annotations\153\0114.txt,1,270,338,371,415,153
Test\Images\120\0196.jpg,Test\Annotations\120\0196.txt,0,,,,,120
Test\Images\158\0116.jpg,Test\Annotations\158\0116.txt,1,304,329,500,430,158
Test\Images\128\0018.jpg,Test\Annotations\128\0018.txt,0,,,,,128
Test\Images\160\0046.jpg,Test\Annotations\160\0046.txt,1,84,121,139,177,160
Test\Images\132\0435.jpg,Test\Annotations\132\0435.txt,1,211,107,356,226,132
Test\Images\157\0105.jpg,Test\Annotations\157\0105.txt,1,149,237,267,283,157
Test\Images\132\0369.jpg,Test\Annotations\132\0369.txt,1,150,77,312,221,132
Test\Images\103\0017.jpg,Test\Annotations\103\0017.txt,0,,,,,103
Test\Images\121\0029.jpg,Test\Annotations\121\0029.txt,0,,,,,121
Test\Images\153\0136.jpg,Test\Annotations\153\0136.txt,1,210,372,317,450,153
Test\Images\112\0141.jpg,Test\Annotations\112\0141.txt,0,,,,,112
Test\Images\120\0115.jpg,Test\Annotations\120\0115.txt,0,,,,,120
Test\Images\147\0219.jpg,Test\Annotations\147\0219.txt,0,,,,,147
Test\Images\138\0137.jpg,Test\Annotations\138\0137.txt,0,,,,,138
Test\Images\147\0274.jpg,Test\Annotations\147\0274.txt,1,39,122,123,291,147
Test\Images\102\0049.jpg,Test\Annotations\102\0049.txt,1,309,184,395,320,102
Test\Images\127\0385.jpg,Test\Annotations\127\0385.txt,1,347,179,406,235,127
Test\Images\159\0109.jpg,Test\Annotations\159\0109.txt,1,193,176,246,214,159
Test\Images\127\0079.jpg,Test\Annotations\127\0079.txt,1,308,66,352,123,127
Test\Images\115\0216.jpg,Test\Annotations\115\0216.txt,1,255,71,405,203,115
Test\Images\115\0321.jpg,Test\Annotations\115\0321.txt,1,443,28,489,107,115
Test\Images\131\0052.jpg,Test\Annotations\131\0052.txt,1,350,194,378,252,131
Test\Images\128\0424.jpg,Test\Annotations\128\0424.txt,1,82,277,166,386,128
Test\Images\129\0107.jpg,Test\Annotations\129\0107.txt,1,353,192,460,294,129
Test\Images\110\0112.jpg,Test\Annotations\110\0112.txt,1,364,116,433,216,110
Test\Images\126\0003.jpg,Test\Annotations\126\0003.txt,0,,,,,126
Test\Images\143\0429.jpg,Test\Annotations\143\0429.txt,1,409,267,447,316,143
Test\Images\143\0406.jpg,Test\Annotations\143\0406.txt,1,365,286,403,328,143
Test\Images\102\0163.jpg,Test\Annotations\102\0163.txt,1,308,150,367,267,102
Test\Images\104\0197.jpg,Test\Annotations\104\0197.txt,1,120,77,324,308,104
Test\Images\110\0013.jpg,Test\Annotations\110\0013.txt,1,394,28,436,68,110
Test\Images\122\0235.jpg,Test\Annotations\122\0235.txt,1,207,217,286,295,122
Test\Images\128\0049.jpg,Test\Annotations\128\0049.txt,1,56,316,131,416,128
Test\Images\147\0301.jpg,Test\Annotations\147\0301.txt,0,,,,,147
Test\Images\120\0131.jpg,Test\Annotations\120\0131.txt,0,,,,,120
Test\Images\133\0338.jpg,Test\Annotations\133\0338.txt,1,314,108,456,310,133
Test\Images\119\0076.jpg,Test\Annotations\119\0076.txt,1,258,280,296,314,119
